Algoritam, Točnost, TPR, FPR, F-mjera,PRC, ROC,N Listova, N 
C4.5All,93.38,0.934,0.032,0.934,0.913,0.96,103,137
Chi2Top10,93.85,0.939,0.027,0.939,0.905,0.959,88,117
Chi2Top20,93.85,0.939,0.029,0.939,0.916,0.963,115,153
MP,94.64,0.946,0.022,0.947,0.931,0.97,100,133
